HSMID	X	Y	OBLIKA IJS	TIP PRIKLJUČKA	ID VS	UPRAVLJANJE
19131874	170159	574320	DRUG	1	99	0
11620191	170153	574444	JAV	1	1633	1
11620205	169991	574581	JAV	1	1633	1
11620213	169870	574615	JAV	1	1633	1
11620221	169964	574408	JAV	1	1633	1
11620230	169934	574313	JAV	1	1633	1
11620248	169953	574299	JAV	1	1633	1
11620256	169904	574246	JAV	1	1633	1
11620264	169915	574276	JAV	1	1633	1
11619886	169752	574909	DRUG	1	99	0
11620272	169912	574216	JAV	1	1633	1
11620299	169857	574224	JAV	1	1633	1
11620302	169823	574188	JAV	1	1633	1
11620329	169690	574056	JAV	1	1633	1
11620337	169681	574062	NEZ		99	0
11620345	169621	574240	JAV	1	1633	1
11620353	170097	574135	JAV	1	1633	1
11620361	170053	574115	JAV	1	1633	1
19135519	170027	574084	JAV	1	1633	1
11620370	169997	574071	NEZ		99	0
11619894	169775	574762	JAV	1	1633	1
11620388	170000	574032	JAV	1	1633	1
11620396	169983	573973	JAV	1	1633	1
11620400	169943	573966	JAV	1	1633	1
11620418	169938	573952	NEZ		99	0
11620426	169933	573916	NEZ		99	0
11620434	169922	573936	JAV	1	1633	1
11620442	169688	573782	NEZ		99	0
11620469	169772	573747	JAV	1	1633	1
11620477	169845	573736	JAV	1	1633	1
11620485	169939	573793	JAV	1	1633	1
11619908	169728	574719	JAV	1	1633	1
11620493	170013	573800	JAV	1	1633	1
11620507	169976	573754	JAV	1	1633	1
11620515	169989	573568	JAV	1	1633	1
11620523	169939	573528	JAV	1	1633	1
11620531	169848	573556	JAV	1	1633	1
11620540	169838	573500	NEZ		99	0
11620558	169833	573480	JAV	1	1633	1
19128687	169861	573386	DRUG	1	99	0
11620566	169673	573138	DRUG	1	99	0
11620582	169540	573008	JAV	1	1633	1
11620574	169497	572972	DRUG	1	99	0
11620604	169321	572913	JAV	1	1633	1
11619916	169669	574713	JAV	1	1633	1
11620612	169080	573125	NEZ		99	0
11620639	169094	573146	NEZ		99	0
19131203	169132	573193	JAV	1	1633	1
19139565	169097	573159	JAV	1	1633	1
11620647	169209	573266	JAV	1	1633	1
11620655	169265	573328	JAV	1	1633	1
