FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
1864;HS;11604226;16; ;16;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;573007;161405
1865;HS;11604234;17; ;17;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572868;161612
1866;HS;11604242;18; ;18;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572931;161714
1867;HS;11604269;19; ;19;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572993;161740
1868;HS;11604285;20; ;20;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;573036;161712
1869;HS;11604277;20;A;20A;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;573093;161718
1870;HS;11593950;7; ;7;16185299;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575481;171265
1871;HS;11593968;2; ;2;16185302;10092752;11026826;21429392;10257212;01.01.1995;01.01.1995;V;576546;170257
1872;HS;11593976;3; ;3;16185302;10092752;11026826;21429392;10257212;01.01.1995;01.01.1995;V;576529;170296
1873;HS;11593992;6; ;6;16185302;10092752;11026826;21429392;10257212;01.01.1995;01.01.1995;V;576573;170291
1874;HS;11591752;1; ;1;16184985;10092752;11026826;21429392;10253080;01.01.1995;01.01.1995;V;576209;170254
1875;HS;11591779;2; ;2;16184985;10092752;11026826;21429392;10253110;01.01.1995;01.01.1995;V;576175;170156
1876;HS;11591787;3; ;3;16184985;10092752;11026826;21429392;10253080;01.01.1995;01.01.1995;V;576217;170224
1877;HS;11591795;4; ;4;16184985;10092752;11026826;21429392;10253110;01.01.1995;01.01.1995;V;576189;170123
1878;HS;11591809;5; ;5;16184985;10092752;11026826;21429392;10253080;01.01.1995;01.01.1995;V;576224;170143
1879;HS;11591817;6; ;6;16184985;10092752;11026826;21429392;10253110;01.01.1995;01.01.1995;V;576193;170100
1880;HS;11591825;7; ;7;16184985;10092752;11026826;21429392;10253080;01.01.1995;01.01.1995;V;576231;170122
1881;HS;11591833;8; ;8;16184985;10092752;11026826;21429392;10253110;01.01.1995;01.01.1995;V;576187;170080
1882;HS;11591841;9; ;9;16184985;10092752;11026826;21429392;10253080;01.01.1995;01.01.1995;V;576225;170101
1883;HS;11591850;10; ;10;16184985;10092752;11026826;21429392;10253110;01.01.1995;01.01.1995;V;576193;170061
1884;HS;11591868;11; ;11;16184985;10092752;11026826;21429392;10253080;01.01.1995;01.01.1995;V;576232;170081
1885;HS;11591876;12; ;12;16184985;10092752;11026826;21429392;10253110;01.01.1995;01.01.1995;V;576191;170030
1886;HS;11591884;13; ;13;16184985;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576220;170007
1887;HS;11591892;14; ;14;16184985;10092752;11026826;21429392;10253110;01.01.1995;01.01.1995;V;576185;170005
1888;HS;11591906;15; ;15;16184985;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576215;169982
1889;HS;11591914;16; ;16;16184985;10092752;11026826;21429392;10253110;01.01.1995;01.01.1995;V;576185;169979
1890;HS;11591922;18; ;18;16184985;10092752;11026826;21429392;10253110;01.01.1995;01.01.1995;V;576175;169906
1891;HS;11594000;1; ;1;16185329;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576306;169918
1892;HS;11594018;3; ;3;16185329;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576283;169913
1893;HS;11594026;4; ;4;16185329;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576283;169950
1894;HS;11594034;5; ;5;16185329;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576227;169917
1895;HS;11594042;6; ;6;16185329;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576210;169954
1896;HS;11587666;1; ;1;16184764;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575530;171569
1897;HS;11587674;2; ;2;16184764;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575521;171571
1898;HS;11587682;3; ;3;16184764;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575499;171548
1899;HS;11587704;4; ;4;16184764;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575434;171530
1900;HS;11604293;21; ;21;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;573147;161710
1901;HS;11604315;22; ;22;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;573224;161673
1902;HS;11604307;22;A;22A;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;573220;161653
1903;HS;11604323;23; ;23;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;573309;161530
1904;HS;11604331;24;A;24A;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;573367;161477
1905;HS;11604366;26; ;26;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;573496;161767
1906;HS;11604374;27; ;27;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;573384;161797
1907;HS;11613462;15; ;15;16276014;10093155;11026826;21429392;10252695;01.01.1995;01.01.1995;V;575888;169759
1908;HS;11613489;16; ;16;16276014;10093155;11026826;21429392;10252695;01.01.1995;01.01.1995;V;575860;169738
1909;HS;11613519;18; ;18;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575873;169776
1910;HS;11613527;19; ;19;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575865;169826
