FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
16604;HS;11599168;40;;40;16275735;10092868;11026826;21432237;10252776;2016-06-02;2016-06-02;V;574437;165312
16605;HS;11599176;41;A;41A;16275735;10092868;11026826;21432237;10252776;2016-06-02;2016-06-02;V;574505;165405
16606;HS;11599184;41;;41;16275735;10092868;11026826;21432237;10252776;2016-06-02;2016-06-02;V;574510;165418
16607;HS;11599192;42;A;42A;16275735;10092868;11026826;21432237;10252911;2016-06-02;2016-06-02;V;574597;165475
16648;HS;11598374;14;A;14A;16275719;10092841;11026826;21432237;10255287;2016-06-02;2016-06-02;V;574308;161614
16649;HS;11598471;22;;22;16275719;10092841;11026826;21432237;10255287;2016-06-02;2016-06-02;V;573967;161003
16650;HS;11598528;1;A;1A;16275727;10092850;11026826;21432237;10255198;2016-06-02;2016-06-02;V;573714;165100
16651;HS;11598609;7;;7;16275727;10092850;11026826;21432237;10255198;2016-06-02;2016-06-02;V;574136;164539
16652;HS;11598617;8;;8;16275727;10092850;11026826;21432237;10255198;2016-06-02;2016-06-02;V;574187;164548
16653;HS;11598714;17;;17;16275727;10092850;11026826;21432237;10255198;2016-06-02;2016-06-02;V;574534;164443
16654;HS;11598811;9;;9;16275735;10092868;11026826;21432237;10252776;2016-06-02;2016-06-02;V;574394;164769
16655;HS;11598951;22;;22;16275735;10092868;11026826;21432237;10252776;2016-06-02;2016-06-02;V;574344;165133
16656;HS;11598986;25;A;25A;16275735;10092868;11026826;21432237;10252776;2016-06-02;2016-06-02;V;574342;165226
16657;HS;11599087;32;;32;16275735;10092868;11026826;21432237;10252776;2016-06-02;2016-06-02;V;573898;165232
16658;HS;11599125;35;;35;16275735;10092868;11026826;21432237;10252776;2016-06-02;2016-06-02;V;574285;165389
16659;HS;11599133;36;;36;16275735;10092868;11026826;21432237;10252776;2016-06-02;2016-06-02;V;574289;165393
16682;HS;11599249;44;A;44A;16275735;10092868;11026826;21432237;10252911;2016-06-02;2016-06-02;V;574781;165435
16683;HS;11599281;45;A;45A;16275735;10092868;11026826;21432237;10252911;2016-06-02;2016-06-02;V;574784;165350
16684;HS;11599389;54;;54;16275735;10092868;11026826;21432237;10252911;2016-06-02;2016-06-02;V;575058;164612
16685;HS;11599451;60;;60;16275735;10092868;11026826;21432237;10252911;2016-06-02;2016-06-02;V;574990;165475
16686;HS;11599591;68;;68;16275735;10092868;11026826;21432237;10252911;2016-06-02;2016-06-02;V;575072;166166
17207;HS;19137031;1;Z;1Z;16184896;10092752;11026826;21429392;10252636;2016-01-06;2016-01-06;V;576165;170777
17282;HS;19136078;10;C;10C;16275875;10093007;11026826;21429392;10252954;2014-06-02;2014-06-02;V;573251;165940
17910;HS;11587968;4;;4;16184799;10092752;11026826;21429392;10253284;2008-12-03;2008-12-03;V;576001;171366
18944;HS;11587534;18;;18;16184756;10092752;11026826;21429392;10253233;2016-06-02;2016-06-02;V;575755;171345
18945;HS;11587640;28;;28;16184756;10092752;11026826;21429392;10253233;2016-06-02;2016-06-02;V;575503;171447
18946;HS;11588395;21;;21;16184802;10092752;11026826;21429392;10253276;2016-06-02;2016-06-02;V;576083;171370
18947;HS;11588867;7;;7;16184837;10092752;11026826;21429392;10253268;2016-06-02;2016-06-02;V;576065;171203
18948;HS;11588948;12;;12;16184845;10092752;11026826;21429392;10253098;2016-06-02;2016-06-02;V;576359;170017
18949;HS;11590055;2;;2;16184888;10092752;11026826;21429392;10252679;2016-06-02;2016-06-02;V;576050;170924
18950;HS;11590110;12;;12;16184888;10092752;11026826;21429392;10252679;2016-06-02;2016-06-02;V;575916;170708
18951;HS;11590152;4;;4;16184896;10092752;11026826;21429392;10252636;2016-06-02;2016-06-02;V;576174;170741
18952;HS;11592686;2;;2;16185124;10092752;11026826;21429392;10253055;2016-06-02;2016-06-02;V;576335;170889
18953;HS;11592902;6;;6;16185159;10092752;11026826;21429392;10257204;2016-06-02;2016-06-02;V;576813;169835
18954;HS;11593224;2;A;2A;16185205;10092752;11026826;21429392;10252652;2016-06-02;2016-06-02;V;576013;170550
18955;HS;11593445;2;;2;16185221;10092752;11026826;21429392;10252628;2016-06-02;2016-06-02;V;575768;171034
18956;HS;11593526;7;;7;16185230;10092752;11026826;21429392;10252687;2016-06-02;2016-06-02;V;575433;171140
18957;HS;11593534;8;;8;16185230;10092752;11026826;21429392;10252687;2016-06-02;2016-06-02;V;575405;171168
18958;HS;11593984;4;;4;16185302;10092752;11026826;21429392;10257212;2016-06-02;2016-06-02;V;576561;170279
18959;HS;11594204;12;;12;16275620;10092779;11026826;21432237;10255023;2016-06-02;2016-06-02;V;574088;163202
18960;HS;11594212;13;;13;16275620;10092779;11026826;21432237;10255023;2016-06-02;2016-06-02;V;574135;163355
18961;HS;11594301;21;;21;16275620;10092779;11026826;21432237;10255023;2016-06-02;2016-06-02;V;574677;162756
18962;HS;11594336;24;;24;16275620;10092779;11026826;21432237;10255023;2016-06-02;2016-06-02;V;574426;161724
19064;HS;11634788;7;;7;16276286;10093414;11026826;21429392;10252997;2016-06-02;2016-06-02;V;569948;169054
19065;HS;11634818;10;A;10A;16276286;10093414;11026826;21429392;10252997;2016-06-02;2016-06-02;V;569992;168708
19066;HS;11634893;15;A;15A;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;571531;168920
19067;HS;11634915;16;;16;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;571515;168880
